staff_id,name,email_id,contact_number,hostel_name,designation,gender,password
S257498,Arjun Das,arjundas@gmail.com,+917881193524,A,admin,M,S257498_5287
S254323,Rohit Nair,rohitnair@gmail.com,+919439925966,A,admin,M,S254323_9823
S252409,Neha Verma,nehaverma@gmail.com,+919740995314,A,cleaner,M,
S259321,Vikram Iyer,vikramiyer@gmail.com,+918308262843,A,cleaner,M,
S258813,Arjun Mehta,arjunmehta@gmail.com,+916487129927,A,cleaner,M,
S258101,Vikram Reddy,vikramreddy@gmail.com,+919517902508,A,technician,M,
S258990,Deepak Gupta,deepakgupta@gmail.com,+919372955454,A,technician,M,
S257895,Suresh Sharma,sureshsharma@gmail.com,+916686813974,B,admin,M,S257895_8284
S258477,Rahul Mehta,rahulmehta@gmail.com,+918602942697,B,admin,M,S258477_6139
S258632,Amit Pillai,amitpillai@gmail.com,+916363923393,B,cleaner,M,
S251727,Anjali Gupta,anjaligupta@gmail.com,+919797140964,B,cleaner,M,
S255391,Meena Verma,meenaverma@gmail.com,+919581128235,B,cleaner,M,
S252503,Amit Verma,amitverma1@gmail.com,+918943353502,B,technician,M,
S252118,Amit Menon,amitmenon1@gmail.com,+917400345651,B,technician,M,
S252969,Priya Menon,priyamenon@gmail.com,+918170369213,C,admin,M,S252969_6777
S254305,Rohit Menon,rohitmenon@gmail.com,+918730716650,C,admin,M,S254305_2068
S259084,Rahul Reddy,rahulreddy@gmail.com,+918780886872,C,cleaner,M,
S253569,Rohit Das,rohitdas@gmail.com,+917545424554,C,cleaner,M,
S255054,Neha Iyer,nehaiyer@gmail.com,+919097227856,C,cleaner,M,
S254169,Amit Menons,amitmenon@gmail.com,+918420564241,C,technician,M,
S254721,Rohit Pillai,rohitpillai@gmail.com,+919832899050,C,technician,M,
S251545,Anjali Reddy,anjalireddy@gmail.com,+916015700823,G,admin,F,S251545_1833
S252398,Amit Nair,amitnair@gmail.com,+918288507949,G,admin,F,S252398_1379
S251153,Amit Mehta,amitmehta@gmail.com,+919325222343,G,cleaner,F,
S256295,Arjun Iyer,arjuniyer@gmail.com,+917174905657,G,cleaner,F,
S256167,Kiran Reddy,kiranreddy@gmail.com,+917569027885,G,cleaner,F,
S256107,Meena Verma,meenaverma1@gmail.com,+919530636404,G,technician,F,
S251094,Suresh Verma,sureshverma@gmail.com,+917606815703,G,technician,F,
