student_id,name,gender,email_id,password,contact_number,date_of_birth
B25783,Rahul Pillai,M,rahulpillai54@hms.com,B25783,+917921522058,2007-07-14
B25493,Arjun Ghosh,M,arjunghosh57@hms.com,B25493,+917160602911,2004-01-22
B25814,Arjun Mehta,M,arjunmehta43@hms.com,B25814,+917582213876,2004-09-11
B25633,Rohit Mehta,M,rohitmehta17@hms.com,B25633,+916655024265,2006-07-31
B25645,Vikram Pillai,M,vikrampillai36@hms.com,B25645,+916908482008,2007-05-02
B25972,Arjun Verma,M,arjunverma97@hms.com,B25972,+917780743230,2007-02-13
B25264,Vikram Nair,M,vikramnair21@hms.com,B25264,+919294628523,2007-06-12
B25912,Vikram Joshi,M,vikramjoshi74@hms.com,B25912,+919579248843,2007-10-10
B25281,Anand Das,M,ananddas76@hms.com,B25281,+918820793300,2007-07-20
B25878,Anand Verma,M,anandverma26@hms.com,B25878,+918399203724,2007-09-20
B25314,Rohit Das,M,rohitdas57@hms.com,B25314,+918707521921,2005-12-09
B25865,Arjun Sharma,M,arjunsharma33@hms.com,B25865,+917858387114,2005-05-23
B25932,Anand Sharma,M,anandsharma10@hms.com,B25932,+917021071250,2004-09-27
B25497,Amit Verma,M,amitverma52@hms.com,B25497,+918717724816,2004-10-31
B25513,Vikram Ghosh,M,vikramghosh72@hms.com,B25513,+919080605588,2006-05-13
B25424,Karthik Iyer,M,karthikiyer34@hms.com,B25424,+918027961015,2004-04-17
B25414,Amit Verma,M,amitverma90@hms.com,B25414,+919252671036,2006-03-30
B25785,Suresh Das,M,sureshdas86@hms.com,B25785,+918261779832,2004-03-21
B25161,Rahul Nair,M,rahulnair60@hms.com,B25161,+919887932162,2006-06-11
B25370,Vikram Sharma,M,vikramsharma72@hms.com,B25370,+918810272374,2004-06-20
B25398,Ramesh Das,M,rameshdas95@hms.com,B25398,+919939879674,2006-03-28
B25406,Vishal Verma,M,vishalverma71@hms.com,B25406,+916587687783,2004-05-09
B25330,Anand Reddy,M,anandreddy70@hms.com,B25330,+916135392877,2007-12-06
B25606,Ramesh Pillai,M,rameshpillai57@hms.com,B25606,+919870561793,2004-02-18
B25361,Ramesh Reddy,M,rameshreddy36@hms.com,B25361,+916856385004,2007-07-13
B25583,Suresh Nair,M,sureshnair52@hms.com,B25583,+918636798035,2004-07-29
B25591,Ramesh Pillai,M,rameshpillai14@hms.com,B25591,+917726771464,2004-07-10
B25806,Anand Das,M,ananddas88@hms.com,B25806,+918213985138,2007-09-26
B25831,Rahul Iyer,M,rahuliyer64@hms.com,B25831,+919995604951,2006-09-05
B25941,Suresh Reddy,M,sureshreddy29@hms.com,B25941,+919104591943,2004-12-08
B25819,Karthik Joshi,M,karthikjoshi68@hms.com,B25819,+916200228958,2006-04-24
B25359,Vikram Das,M,vikramdas89@hms.com,B25359,+917460319822,2006-05-03
B25422,Rohit Iyer,M,rohitiyer88@hms.com,B25422,+918484624889,2004-08-24
B25252,Karthik Mehta,M,karthikmehta54@hms.com,B25252,+919396068500,2007-04-08
